id,year,sex,education,no_kids,health_org,satisf_org,health_std,satisf_std
312,2004,1,,1,4,7,0.567010283470154,-0.0909090936183929
399,2000,0,12,1,4,8,0.567010283470154,0.477272719144821
399,2001,0,12,1,4,9,0.567010283470154,1.04545450210571
457,2000,0,18,0,3,8,-0.463917523622513,0.477272719144821
457,2002,0,18,0,3,7,-0.463917523622513,-0.0909090936183929
457,2004,0,18,0,2,4,-1.49484539031982,-1.79545450210571
748,2000,1,14,0,3,5,-0.463917523622513,-1.22727274894714
761,2000,1,16,2,3,7,-0.463917523622513,-0.0909090936183929
761,2001,1,16,2,3,7,-0.463917523622513,-0.0909090936183929
1044,2000,0,14,1,4,5,0.567010283470154,-1.22727274894714
1044,2001,0,14,1,3,7,-0.463917523622513,-0.0909090936183929
1044,2002,0,14,1,4,8,0.567010283470154,0.477272719144821
1044,2003,0,14,1,4,6,0.567010283470154,-0.659090936183929
1044,2004,0,14,1,4,7,0.567010283470154,-0.0909090936183929
1300,2000,1,10.5,0,2,5,-1.49484539031982,-1.22727274894714
1300,2001,1,10.5,0,2,6,-1.49484539031982,-0.659090936183929
1300,2002,1,10.5,0,2,8,-1.49484539031982,0.477272719144821
1300,2003,1,10.5,0,1,9,-2.52577328681946,1.04545450210571
1300,2004,1,10.5,0,2,5,-1.49484539031982,-1.22727274894714
1343,2000,1,11.5,2,4,10,0.567010283470154,1.61363637447357
1343,2001,1,,2,3,8,-0.463917523622513,0.477272719144821
1343,2002,1,,2,2,7,-1.49484539031982,-0.0909090936183929
1343,2003,1,,2,2,7,-1.49484539031982,-0.0909090936183929
1343,2004,1,,,2,8,-1.49484539031982,0.477272719144821
1423,2000,1,10.5,1,3,8,-0.463917523622513,0.477272719144821
1423,2002,1,10.5,1,4,10,0.567010283470154,1.61363637447357
1423,2003,1,10.5,1,4,10,0.567010283470154,1.61363637447357
1423,2004,1,10.5,1,4,9,0.567010283470154,1.04545450210571
1596,2000,0,14,0,4,8,0.567010283470154,0.477272719144821
